respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.13,0.34
26708,0.08,0.18
26709,0.37,0.51
26710,0.43,0.82
26711,0.25,0.6
26712,0.38,0.9
26713,0.34,0.31
26714,0.12,0.22
26715,0.03,0.12
26716,0.14,0.75
26717,0.01,0.47
26718,0.22,0.51
26719,0.12,0.87
26720,0.1,0.28
26721,0.56,0.75
26722,0.05,0.05
26723,0.63,0.78
26726,0.03,0.08
26727,0.19,0.54
26728,0.21,0.52
26729,0.08,0.4
26730,0.07,0.4
26731,0.01,0.21
26732,0.18,0.11
26733,0.88,0.94
26734,0.88,0.53
26735,0.12,0.43
26736,0.11,0.35
26737,0.11,0.1
26738,0.57,0.86
26739,0.11,0.26
26740,0.23,0.24
26741,0.17,0.89
26742,0.15,0.41
26743,0.03,0.33
26744,0.06,0.61
26745,0.1,0.85
26747,0.08,0.31
26748,0.25,0.25
26749,0.12,0.73
26750,0.59,0.86
26751,0.31,0.66
26752,0.04,0.03
26753,0.19,0.44
26754,0.21,0.62
26755,0.08,0.24
26756,0.02,0.06
26757,0.55,0.7
26758,0.55,0.8
26759,0.04,0.2
26761,0.15,0.53
26762,0.09,0.68
26763,0.87,0.98
26764,0.92,0.97
26765,0.06,0.68
26766,0.18,0.26
26767,0.76,0.83
26768,0.02,0.69
26769,0.17,0.35
26770,0.2,0.66
26771,0.09,0.1
26772,0.09,0.47
26773,0.03,0.48
26774,0.05,0.39
26775,0.09,0.56
26777,0.17,0.85
26778,0.16,0.37
26779,0.11,0.69
26780,0.18,0.89
26781,0.03,0.24
26782,0.05,0.4
26783,0.06,0.32
26786,0.15,0.26
26787,0.09,0.28
26788,0.15,0.85
26789,0.03,0.27
26790,0.05,0.24
26791,0.07,0.23
26792,0.18,0.85
26793,0.14,0.77
26794,0.76,0.93
26795,0.04,0.94
26796,0.08,0.07
26797,0.18,0.68
26798,0.32,0.17
26800,0.05,0.87
26801,0.24,0.37
26802,0.11,0.17
26803,0.08,0.25
26804,0.09,0.29
26805,0.08,0.51
26806,0.07,0.76
26807,0.59,0.9
26809,0.71,0.44
26810,0.06,0.35
26811,0.08,0.04
26812,0.1,0.64
26813,0.35,0.13
26814,0.03,0.29
26815,0.07,0.21
26816,0.05,0.25
26818,0.08,0.5
26819,0.37,0.49
26820,0.11,0.25
26821,0.09,0.45
26822,0.16,0.46
26823,0.54,0.27
26824,0.07,0.55
26825,0.35,0.59
26826,0.05,0.55
26827,0.07,0.31
26829,0.54,0.82
26831,0.15,0.63
26832,0.18,0.88
26833,0.01,0.34
26834,0.14,0.72
26835,0.23,0.88
26836,0.19,0.38
26837,0.05,0.03
26838,0.09,0.25
26840,0.11,0.26
26842,0.09,0.22
26843,0.06,0.04
26844,0.03,0.56
26845,0.1,0.55
26846,0.03,0.58
26847,0.33,0.23
26848,0.03,0.55
26849,0.09,0.51
26850,0.58,0.88
26851,0.04,0.1
26853,0.51,0.57
26854,0.03,0.14
26855,0.53,0.84
26856,0.22,0.05
26857,0.52,0.23
26858,0.1,0.55
26859,0.1,0.28
26860,0.2,0.11
26861,0.08,0.06
26862,0.1,0.45
26863,0.21,0.42
26864,0.42,0.41
26865,0.02,0.04
26866,0.18,0.52
26867,0.11,0.14
26868,0.73,0.86
26869,0.14,0.54
26871,0.08,0.1
26872,0.11,0.63
26873,0.2,0.88
26875,0.54,0.93
26876,0.06,0.04
26877,0.1,0.14
26878,0.24,0.49
26880,0.06,0.25
26881,0.03,0.12
26882,0.06,0.18
26883,0.07,0.39
26885,0.13,0.77
26886,0.06,0.58
